focal.sp;model;optim.method;lambda;lambda.lower.error;lambda.upper.error;sigma;log.likelihood
CETE;5;optim_NM;256.2439886099899;234.44425742203453;278.0437197979453;0.9642078453612698;246.5198471517846
SUES;1;optim_NM;47.439403437166675;-54.850533331576216;149.72934020590958;1.151458275631444;3.1196476464169027
SUES;2;optim_NM;6.382978723468085;-41.064296026272956;53.830253473209126;1.2143816326887259e-11;-47.692380089985456
SUES;3;optim_NM;6.382978723468085;6.382978723467801;6.382978723468369;1.2143816326887259e-11;-47.692380089985456
SUES;4;optim_NM;6.382978723468085;6.382978723468085;6.382978723468085;0.6382978723589524;0.9838650119389064
SUES;5;optim_NM;6.4960230399614485;6.344690493078193;6.647355586844704;0.16060109998301725;-1.6012331329496614
SUSP;1;optim_NM;155.0760458864234;122.74633749398538;187.40575427886142;0.5813306112806571;25.44134289070023
SUSP;2;optim_NM;131.36197083797674;78.90639443197493;183.81754724397854;0.5694203543317946;24.817673314767717
SUSP;3;optim_NM;130.89714229096003;102.74753755126001;159.04674703066007;0.503689685135038;21.086521026355378
SUSP;4;optim_NM;131.83271576053528;122.77686593972155;140.888565581349;0.5006162988557589;20.894705094323587
SUSP;5;optim_NM;132.06553490331325;127.78991019379188;136.34115961283462;0.5038103221112114;21.02857309439648
SASO;1;optim_NM;57.330672707596705;52.48200427193382;62.17934114325959;1.0449016614210724;851.3969733728248
SASO;2;optim_NM;54.02655166796367;49.182847669070235;58.87025566685711;0.9996979867948129;1010.1226413469218
SASO;3;optim_NM;56.152147103779065;48.697137012510346;63.60715719504778;0.9874019976416293;998.3474875350988
SASO;4;optim_NM;57.60662924582706;53.190056913279136;62.02320157837498;0.985733642641508;997.0524140255847
SASO;5;optim_NM;57.72169254563845;55.142692664143716;60.30069242713318;0.984900989396709;997.8208741893964
CHFU;1;optim_NM;159.78055385335128;146.87163027680404;172.68947742989852;0.701625080618236;301.25391521789385
CHFU;2;optim_NM;194.71519799721028;162.35931864189976;227.0710773525208;0.6866023193340454;295.1694085320382
CHFU;3;optim_NM;190.83433111633107;180.93322143735995;200.7354407953022;0.6706599147961486;283.1993166066156
CHFU;4;optim_NM;190.11949804977957;184.2804414543358;195.95855464522333;0.6723950858503518;280.87405749990575
CHFU;5;optim_NM;190.11949804977957;182.73149255797878;197.50750354158035;0.6723950858503518;282.4201065349692
LYTR;1;optim_NM;318.2854489956036;195.46367174084003;441.10722625036715;1.5078218600817768;113.42648349064635
LYTR;2;optim_NM;32090291.488096368;-168923980189.34686;168988160772.32306;1.0429863622497726;90.56237315976034
LYTR;3;optim_NM;36858518.10706389;32231814.282952223;41485221.93117555;0.9551771234460686;75.04949487421058
LYTR;4;optim_NM;39517575.55161898;37364636.1883534;41670514.91488456;0.9830496270748437;72.1604596015454
LYTR;5;optim_NM;38901320.97128553;37426373.95404796;40376267.988523096;0.9828778080328515;72.77204013686918
