plot;subplot;year;precip;na;sum_salinity;type
6;F2;2015;392.1;2827;1.461;observed
6;F3;2015;392.1;2842;1.69;observed
6;F4;2015;392.1;2781;1.72;observed
6;F5;2015;392.1;3051;1.597;observed
6;F6;2015;392.1;2182;1.708;observed
7;A1;2015;392.1;2542;0.973;observed
7;A2;2015;392.1;2713;1.039;observed
7;A3;2015;392.1;2745.5;1.121;observed
7;A4;2015;392.1;2534;1.101;observed
7;A5;2015;392.1;2770;1.149;observed
7;A6;2015;392.1;2798;1.148;observed
7;B1;2015;392.1;2018.5;0.969;observed
7;B2;2015;392.1;2679;1.079;observed
7;B3;2015;392.1;2531;1.105;observed
7;B4;2015;392.1;2767.5;1.126;observed
7;B5;2015;392.1;2788;1.141;observed
7;B6;2015;392.1;2497;1.153;observed
7;C1;2015;392.1;1917;1.019;observed
7;C2;2015;392.1;2961;1.135;observed
7;C3;2015;392.1;2496;1.079;observed
7;C4;2015;392.1;2573.5;1.099;observed
7;C5;2015;392.1;3356;1.04;observed
7;C6;2015;392.1;2232.5;1.08;observed
7;D1;2015;392.1;2374.5;1.085;observed
7;D2;2015;392.1;3127;2.17;observed
7;D3;2015;392.1;2954.5;1.009;observed
7;D4;2015;392.1;2294.5;1.067;observed
7;D5;2015;392.1;2647.5;1.069;observed
7;D6;2015;392.1;2449;1.03;observed
7;E1;2015;392.1;2344.5;0.941;observed
7;E2;2015;392.1;2376.5;0.995;observed
7;E3;2015;392.1;2361;1.11;observed
7;E4;2015;392.1;2232;0.94;observed
7;E5;2015;392.1;2330;0.953;observed
7;E6;2015;392.1;2284.5;1.052;observed
7;F1;2015;392.1;2531;1.046;observed
7;F2;2015;392.1;2180.5;0.947;observed
7;F3;2015;392.1;2551.5;1.056;observed
7;F4;2015;392.1;2317;1.016;observed
7;F5;2015;392.1;2495.5;1.093;observed
7;F6;2015;392.1;2124.5;1.046;observed
8;A1;2015;392.1;2929;1.307;observed
8;A2;2015;392.1;2624.5;1.123;observed
8;A3;2015;392.1;2228;1.053;observed
8;A4;2015;392.1;1872;1;observed
8;A5;2015;392.1;2143.5;1.148;observed
8;A6;2015;392.1;2750;1.113;observed
8;B1;2015;392.1;6320;1.2;observed
8;B2;2015;392.1;2405;1.172;observed
8;B3;2015;392.1;2057;1.036;observed
8;B4;2015;392.1;2563;1.057;observed
8;B5;2015;392.1;2390.5;1.148;observed
8;B6;2015;392.1;3182.5;1.347;observed
8;C1;2015;392.1;2767;1.271;observed
8;C2;2015;392.1;2307.5;1.12;observed
8;C3;2015;392.1;2143;1.009;observed
8;C4;2015;392.1;2333.5;1.16;observed
8;C5;2015;392.1;2314.5;1.22;observed
8;C6;2015;392.1;2844;1.214;observed
8;D1;2015;392.1;2850;1.379;observed
8;D2;2015;392.1;2072.5;1.123;observed
8;D3;2015;392.1;2009;1.063;observed
8;D4;2015;392.1;2044.5;1.201;observed
8;D5;2015;392.1;2015.5;1.218;observed
8;D6;2015;392.1;2320.5;1.258;observed
8;E1;2015;392.1;2429.5;1.119;observed
8;E2;2015;392.1;2252.4;1.278;observed
8;E3;2015;392.1;2381;1.223;observed
8;E4;2015;392.1;2712.5;1.163;observed
8;E5;2015;392.1;4000.5;1.268;observed
8;E6;2015;392.1;2165.5;1.263;observed
8;F1;2015;392.1;2193.5;1.11;observed
8;F2;2015;392.1;2560.5;1.206;observed
8;F3;2015;392.1;3053.5;1.389;observed
8;F4;2015;392.1;3120;1.327;observed
8;F5;2015;392.1;2268.5;1.182;observed
8;F6;2015;392.1;3121.7;1.266;observed
9;A1;2015;392.1;2583;0.866;observed
9;A2;2015;392.1;2394;1.15;observed
9;A3;2015;392.1;2259;1.18;observed
9;A4;2015;392.1;2559;1.417;observed
9;A5;2015;392.1;2812;1.409;observed
9;A6;2015;392.1;3012;1.175;observed
9;B1;2015;392.1;2882;1.081;observed
9;B2;2015;392.1;2832;1.099;observed
9;B3;2015;392.1;2539;1.067;observed
9;B4;2015;392.1;2883;1.344;observed
9;B5;2015;392.1;2733;1.455;observed
9;B6;2015;392.1;3194;1.377;observed
9;C1;2015;392.1;2844;1.161;observed
9;C2;2015;392.1;2832;1.054;observed
9;C3;2015;392.1;2693.5;1.064;observed
9;C4;2015;392.1;2560;1.218;observed
9;C5;2015;392.1;2583;1.433;observed
9;C6;2015;392.1;2499;1.674;observed
9;D1;2015;392.1;2513;1.15;observed
9;D2;2015;392.1;2531;1.024;observed
9;D3;2015;392.1;2853;1.043;observed
9;D4;2015;392.1;2844;1.211;observed
9;D5;2015;392.1;2943;1.375;observed
9;D6;2015;392.1;2669;4.433;observed
9;E1;2015;392.1;2632;1.17;observed
9;E2;2015;392.1;2544;1.041;observed
9;E3;2015;392.1;2521;1.098;observed
9;E4;2015;392.1;2699;1.115;observed
9;E5;2015;392.1;2733;1.467;observed
9;E6;2015;392.1;3395;1.609;observed
9;F1;2015;392.1;3221;1.061;observed
9;F2;2015;392.1;2864;1.054;observed
9;F3;2015;392.1;2733;0.999;observed
9;F4;2015;392.1;2499;1.234;observed
9;F5;2015;392.1;2583;1.307;observed
9;F6;2015;392.1;2655;1.403;observed
1;A1;2016;615.5;3063.5;0.986;observed
1;A2;2016;615.5;2907.5;1.028;observed
1;A3;2016;615.5;2766.5;1;observed
1;A4;2016;615.5;2630.5;0.883;observed
1;A5;2016;615.5;2735.5;0.842;observed
1;A6;2016;615.5;2408.5;0.906;observed
1;B1;2016;615.5;2768.5;0.9121;observed
1;B2;2016;615.5;2980;0.745;observed
1;B3;2016;615.5;2523.5;0.862;observed
1;B4;2016;615.5;2280;0.869;observed
1;B5;2016;615.5;2308;0.838;observed
1;B6;2016;615.5;2234;0.791;observed
1;C1;2016;615.5;2180.5;0.683;observed
1;C2;2016;615.5;1992;0.901;observed
1;C3;2016;615.5;2216.5;0.875;observed
1;C4;2016;615.5;1924;0.844;observed
1;C5;2016;615.5;2276.5;0.76;observed
1;C6;2016;615.5;2338;0.694;observed
1;D1;2016;615.5;2321;1.022;observed
1;D2;2016;615.5;2133;0.885;observed
1;D3;2016;615.5;2281.5;0.768;observed
1;D4;2016;615.5;2239.5;0.931;observed
1;D5;2016;615.5;2332;0.777;observed
1;D6;2016;615.5;2420.5;0.758;observed
1;E1;2016;615.5;2238.5;0.641;observed
1;E2;2016;615.5;2896.9;0.657;observed
1;E3;2016;615.5;2748.4;0.682;observed
1;E4;2016;615.5;2555;0.731;observed
1;E5;2016;615.5;2473.5;0.64;observed
1;E6;2016;615.5;2353;0.545;observed
1;F1;2016;615.5;2299;0.618;observed
1;F2;2016;615.5;2198.5;0.567;observed
1;F3;2016;615.5;2263;0.807;observed
1;F4;2016;615.5;2411.5;0.573;observed
1;F5;2016;615.5;1804.5;0.516;observed
1;F6;2016;615.5;2061.5;0.658;observed
2;A1;2016;615.5;2462.9;0.852;observed
2;A2;2016;615.5;2683;0.555;observed
2;A3;2016;615.5;2495;0.778;observed
2;A4;2016;615.5;1831;0.55;observed
2;A5;2016;615.5;1644;0.575;observed
2;A6;2016;615.5;1378.1;0.606;observed
2;B1;2016;615.5;2187.5;0.735;observed
2;B2;2016;615.5;2652;0.557;observed
2;B3;2016;615.5;2451.5;0.478;observed
2;B4;2016;615.5;1884.5;0.432;observed
2;B5;2016;615.5;2114.5;0.584;observed
2;B6;2016;615.5;2237;0.789;observed
2;C1;2016;615.5;2894;0.496;observed
2;C2;2016;615.5;2754;0.589;observed
2;C3;2016;615.5;2813;0.53;observed
2;C4;2016;615.5;1740;0.482;observed
2;C5;2016;615.5;1753.5;0.67;observed
2;C6;2016;615.5;2150;0.528;observed
2;D1;2016;615.5;1571.5;0.412;observed
2;D2;2016;615.5;1884.5;0.333;observed
2;D3;2016;615.5;1875.5;0.57;observed
2;D4;2016;615.5;1761.5;0.543;observed
2;D5;2016;615.5;1477;0.446;observed
2;D6;2016;615.5;1892;0.55;observed
2;E1;2016;615.5;1508.5;0.446;observed
2;E2;2016;615.5;1190;0.543;observed
2;E3;2016;615.5;1066;0.752;observed
2;E4;2016;615.5;842;0.435;observed
2;E5;2016;615.5;1238.5;0.595;observed
2;E6;2016;615.5;1797.5;0.712;observed
2;F1;2016;615.5;1281;0.558;observed
2;F2;2016;615.5;1504.5;0.641;observed
2;F3;2016;615.5;1624;0.618;observed
2;F4;2016;615.5;1223;0.495;observed
2;F5;2016;615.5;1012.7;0.345;observed
2;F6;2016;615.5;933.5;0.399;observed
3;A1;2016;615.5;3562;0.878;observed
3;A2;2016;615.5;3338;0.694;observed
3;A3;2016;615.5;3366;0.393;observed
3;A4;2016;615.5;3273;0.659;observed
3;A5;2016;615.5;3177;0.773;observed
3;A6;2016;615.5;3109;1.077;observed
3;B1;2016;615.5;2844;0.729;observed
3;B2;2016;615.5;2822;0.83;observed
3;B3;2016;615.5;3074;0.526;observed
3;B4;2016;615.5;3156;0.422;observed
3;B5;2016;615.5;3076;0.727;observed
3;B6;2016;615.5;3033;0.844;observed
3;C1;2016;615.5;3037;0.386;observed
3;C2;2016;615.5;3532;0.499;observed
3;C3;2016;615.5;2716;0.568;observed
3;C4;2016;615.5;3249;0.64;observed
3;C5;2016;615.5;3493;0.418;observed
3;C6;2016;615.5;2757;0.666;observed
3;D1;2016;615.5;3231;0.618;observed
3;D2;2016;615.5;2847;0.58;observed
3;D3;2016;615.5;2678;0.574;observed
3;D4;2016;615.5;3197;0.515;observed
3;D5;2016;615.5;3027;0.645;observed
3;D6;2016;615.5;2890;0.646;observed
3;E1;2016;615.5;2411;0.616;observed
3;E2;2016;615.5;2134;0.516;observed
3;E3;2016;615.5;2163;0.596;observed
3;E4;2016;615.5;2431;0.734;observed
3;E5;2016;615.5;2554;0.652;observed
3;E6;2016;615.5;2377;0.79;observed
3;F1;2016;615.5;2451;0.68;observed
3;F2;2016;615.5;2201;0.77;observed
3;F3;2016;615.5;2036;0.597;observed
3;F4;2016;615.5;1867;0.832;observed
3;F5;2016;615.5;1892;0.916;observed
3;F6;2016;615.5;2303;0.588;observed
4;A1;2016;615.5;2935.5;0.719;observed
4;A2;2016;615.5;2699.5;0.945;observed
4;A3;2016;615.5;3061.5;0.982;observed
4;A4;2016;615.5;2613.5;0.759;observed
4;A5;2016;615.5;2869.5;0.874;observed
4;A6;2016;615.5;2991;0.803;observed
4;B1;2016;615.5;2328;0.833;observed
4;B2;2016;615.5;2713;0.611;observed
4;B3;2016;615.5;2536;0.606;observed
4;B4;2016;615.5;2648.5;0.613;observed
4;B5;2016;615.5;2527.5;0.839;observed
4;B6;2016;615.5;2367;0.765;observed
4;C1;2016;615.5;2796;1.173;observed
4;C2;2016;615.5;2295.5;0.777;observed
4;C3;2016;615.5;2384.5;0.449;observed
4;C4;2016;615.5;2309.5;0.576;observed
4;C5;2016;615.5;2343.5;0.573;observed
4;C6;2016;615.5;2580.5;1.051;observed
4;D1;2016;615.5;2543.5;1.093;observed
4;D2;2016;615.5;2329.5;0.691;observed
4;D3;2016;615.5;2060.5;0.576;observed
4;D4;2016;615.5;2259.5;0.579;observed
4;D5;2016;615.5;2067;0.585;observed
4;D6;2016;615.5;2126.5;0.65;observed
4;E1;2016;615.5;2165;0.68;observed
4;E2;2016;615.5;2240;1.132;observed
4;E3;2016;615.5;2358.5;0.593;observed
4;E4;2016;615.5;2117;0.493;observed
4;E5;2016;615.5;2074.5;0.61;observed
4;E6;2016;615.5;2014;0.466;observed
4;F1;2016;615.5;2069.5;0.564;observed
4;F2;2016;615.5;2119.5;0.578;observed
4;F3;2016;615.5;2069.5;0.599;observed
4;F4;2016;615.5;2209;0.524;observed
4;F5;2016;615.5;2196;0.479;observed
4;F6;2016;615.5;2297;0.48;observed
5;A1;2016;615.5;3562;0.738;observed
5;A2;2016;615.5;3184;0.782;observed
5;A3;2016;615.5;3221;0.731;observed
5;A4;2016;615.5;2896;0.623;observed
5;A5;2016;615.5;3046;0.623;observed
